                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.89827,                 3.0953,                 1.4007,                      0,                      0,                      0,                      0,                0.73381,                 3.8443,                 1.4942,                    0.1,                      0,                      0
                      1,                0.89323,                 3.3588,                 1.5346,                      0,                      0,                      0,                      0,                0.73567,                 3.8356,                  1.489,               0.099099,              9.901e-05,              9.901e-05
                      2,                 1.0495,                 3.2049,                 1.5533,                      0,                      0,                      0,                      0,                0.74311,                 3.8206,                 1.4848,               0.098196,             0.00019604,             0.00019604
                      3,                0.99948,                 3.1796,                  1.399,                      0,                      0,                      0,                      0,                0.76604,                 3.7951,                 1.4679,               0.097291,             0.00029109,             0.00029109
                      4,                0.75762,                 3.1484,                 1.3318,                      0,                      0,                      0,                      0,                0.73912,                 3.8001,                 1.4516,               0.096384,             0.00038416,             0.00038416
                      5,                0.99478,                 3.2431,                 1.4416,                      0,                      0,                      0,                      0,                0.71176,                  3.809,                 1.3993,               0.095475,             0.00047525,             0.00047525
                      6,                 1.1481,                 3.4502,                 1.7001,                      0,                      0,                      0,                      0,                0.70402,                 3.7765,                 1.3988,               0.094564,             0.00056436,             0.00056436
                      7,                0.89379,                 3.1284,                 1.3044,                      0,                      0,                      0,                      0,                0.66677,                  3.771,                 1.3921,               0.093651,             0.00065149,             0.00065149
                      8,                0.64986,                 3.0836,                 1.2532,                      0,                      0,                      0,                      0,                0.73358,                 3.7247,                 1.4061,               0.092737,             0.00073664,             0.00073664
                      9,                0.93316,                 3.2474,                 1.4186,                      0,                      0,                      0,                      0,                0.70365,                 3.7132,                 1.3879,                0.09182,             0.00081981,             0.00081981
                     10,                0.72665,                 2.9855,                 1.1943,                      0,                      0,                      0,                      0,                0.70097,                 3.6981,                 1.3381,               0.090901,               0.000901,               0.000901
                     11,                0.53586,                 3.1474,                 1.1721,                      0,                      0,                      0,                      0,                0.69549,                 3.6778,                 1.3078,                0.08998,             0.00098021,             0.00098021
                     12,                0.91518,                 3.1993,                 1.3338,                      0,                      0,                      0,                      0,                0.63689,                 3.6593,                 1.2617,               0.089057,              0.0010574,              0.0010574
                     13,                 0.7845,                 3.0559,                 1.3455,                      0,                      0,                      0,                      0,                0.54323,                  3.704,                 1.1725,               0.088133,              0.0011327,              0.0011327
                     14,                0.49772,                 2.9099,                 1.0603,                      0,                      0,                      0,                      0,                0.51187,                 3.6769,                 1.1082,               0.087206,               0.001206,               0.001206
                     15,                0.77524,                 3.0162,                 1.2924,                      0,                      0,                      0,                      0,                0.46627,                 3.6633,                 1.0398,               0.086277,              0.0012772,              0.0012772
                     16,                0.78564,                 3.1189,                 1.2393,                      0,                      0,                      0,                      0,                0.46975,                 3.6225,                 1.0179,               0.085347,              0.0013466,              0.0013466
                     17,                 0.6018,                 2.8713,                 1.1002,                      0,                      0,                      0,                      0,                0.46975,                 3.6225,                 1.0179,               0.084414,              0.0014139,              0.0014139
                     18,                0.70018,                 2.8845,                 1.1972,                      0,                      0,                      0,                      0,                0.47501,                 3.6238,                 1.0536,               0.083479,              0.0014792,              0.0014792
                     19,                0.58186,                 2.7875,                 1.0833,                      0,                      0,                      0,                      0,                0.47501,                 3.6238,                 1.0536,               0.082543,              0.0015426,              0.0015426
                     20,                0.59634,                  2.658,                  1.087,                      0,                      0,                      0,                      0,                0.50942,                 3.6029,                 1.0984,               0.081604,               0.001604,               0.001604
                     21,                0.68856,                 2.7955,                  1.212,                      0,                      0,                      0,                      0,                0.50942,                 3.6029,                 1.0984,               0.080663,              0.0016634,              0.0016634
                     22,                 0.4632,                 2.6939,                 1.1372,                      0,                      0,                      0,                      0,                0.46884,                  3.597,                 1.0837,               0.079721,              0.0017208,              0.0017208
                     23,                 0.6943,                 2.7777,                 1.1996,                      0,                      0,                      0,                      0,                0.46884,                  3.597,                 1.0837,               0.078776,              0.0017763,              0.0017763
                     24,                0.60839,                 2.6591,                 1.0663,                      0,                      0,                      0,                      0,                0.43408,                 3.5612,                 1.0261,                0.07783,              0.0018298,              0.0018298
                     25,                0.63538,                 2.7039,                 1.1612,                      0,                      0,                      0,                      0,                0.43408,                 3.5612,                 1.0261,               0.076881,              0.0018812,              0.0018812
                     26,                 0.4921,                 2.5986,                 1.0519,                      0,                      0,                      0,                      0,                 0.4056,                 3.5327,                 1.0148,               0.075931,              0.0019308,              0.0019308
                     27,                0.92322,                 2.7495,                 1.3716,                      0,                      0,                      0,                      0,                 0.4056,                 3.5327,                 1.0148,               0.074978,              0.0019783,              0.0019783
                     28,                0.50259,                 2.5411,                 1.0773,                      0,                      0,                      0,                      0,                0.44305,                  3.486,                 1.0444,               0.074024,              0.0020238,              0.0020238
                     29,                0.56275,                 2.4978,                 1.1132,                      0,                      0,                      0,                      0,                0.44305,                  3.486,                 1.0444,               0.073067,              0.0020674,              0.0020674
                     30,                0.67274,                 2.7334,                  1.092,                      0,                      0,                      0,                      0,                0.36866,                 3.3876,                0.96803,               0.072109,               0.002109,               0.002109
                     31,                0.70263,                 2.6273,                 1.1628,                      0,                      0,                      0,                      0,                0.36866,                 3.3876,                0.96803,               0.071149,              0.0021486,              0.0021486
                     32,                0.43973,                 2.4032,                 1.0504,                      0,                      0,                      0,                      0,                0.39185,                 3.3162,                0.95294,               0.070186,              0.0021862,              0.0021862
                     33,                0.61817,                 2.2764,                 1.1121,                      0,                      0,                      0,                      0,                0.39185,                 3.3162,                0.95294,               0.069222,              0.0022219,              0.0022219
                     34,                0.53935,                 2.6406,                 1.1954,                      0,                      0,                      0,                      0,                0.46475,                 3.2733,                 1.0155,               0.068256,              0.0022556,              0.0022556
                     35,                0.61342,                 2.1977,                 1.1085,                      0,                      0,                      0,                      0,                0.46475,                 3.2733,                 1.0155,               0.067287,              0.0022873,              0.0022873
                     36,                 0.6224,                 2.2341,                 1.1007,                      0,                      0,                      0,                      0,                0.49043,                 3.2283,                 1.0408,               0.066317,               0.002317,               0.002317
                     37,                 0.5875,                 2.2493,                 1.0823,                      0,                      0,                      0,                      0,                0.49043,                 3.2283,                 1.0408,               0.065345,              0.0023447,              0.0023447
                     38,                0.67954,                 2.1886,                 1.0967,                      0,                      0,                      0,                      0,                0.43763,                 3.1458,                 1.0028,                0.06437,              0.0023704,              0.0023704
                     39,                0.65072,                  2.172,                 1.2794,                      0,                      0,                      0,                      0,                0.43763,                 3.1458,                 1.0028,               0.063394,              0.0023942,              0.0023942
                     40,                0.59271,                 2.2849,                 1.1251,                      0,                      0,                      0,                      0,                0.45753,                 3.1264,                 1.0236,               0.062416,               0.002416,               0.002416
                     41,                0.51529,                 2.1279,                 1.0427,                      0,                      0,                      0,                      0,                0.45753,                 3.1264,                 1.0236,               0.061436,              0.0024358,              0.0024358
                     42,                0.72735,                 2.3863,                 1.0893,                      0,                      0,                      0,                      0,                0.44425,                 3.1338,                 1.0088,               0.060454,              0.0024536,              0.0024536
                     43,                0.66553,                 1.9984,                 1.1823,                      0,                      0,                      0,                      0,                0.44425,                 3.1338,                 1.0088,               0.059469,              0.0024695,              0.0024695
                     44,                0.54478,                 2.0088,                 1.0603,                      0,                      0,                      0,                      0,                0.43265,                 3.1548,                0.99221,               0.058483,              0.0024834,              0.0024834
                     45,                0.43479,                 1.8287,                0.95644,                      0,                      0,                      0,                      0,                0.43265,                 3.1548,                0.99221,               0.057495,              0.0024953,              0.0024953
                     46,                0.44583,                 1.8399,                0.95468,                      0,                      0,                      0,                      0,                 0.4436,                 3.1409,                0.98877,               0.056505,              0.0025052,              0.0025052
                     47,                 0.8027,                 2.2582,                 1.4202,                      0,                      0,                      0,                      0,                 0.4436,                 3.1409,                0.98877,               0.055513,              0.0025131,              0.0025131
                     48,                0.51467,                 1.8368,                 1.0224,                      0,                      0,                      0,                      0,                0.43222,                  3.085,                 1.0054,               0.054519,               0.002519,               0.002519
                     49,                0.61544,                 1.8497,                 1.1434,                      0,                      0,                      0,                      0,                0.43222,                  3.085,                 1.0054,               0.053523,               0.002523,               0.002523
                     50,                0.53428,                 1.8266,                0.95161,                      0,                      0,                      0,                      0,                0.39977,                 3.0493,                0.96013,               0.052525,               0.002525,               0.002525
                     51,                0.55818,                 1.8334,                 1.1345,                      0,                      0,                      0,                      0,                0.39977,                 3.0493,                0.96013,               0.051525,               0.002525,               0.002525
                     52,                0.62121,                 1.9305,                 1.0723,                      0,                      0,                      0,                      0,                0.39977,                 3.0493,                0.96013,               0.050523,               0.002523,               0.002523
                     53,                0.72128,                 1.8052,                 1.1523,                      0,                      0,                      0,                      0,                0.38602,                  3.003,                0.94601,               0.049519,              0.0025191,              0.0025191
                     54,                0.67144,                 1.7391,                 1.0936,                      0,                      0,                      0,                      0,                0.38602,                  3.003,                0.94601,               0.048513,              0.0025132,              0.0025132
                     55,                0.41981,                 1.5072,                 1.0666,                      0,                      0,                      0,                      0,                0.38602,                  3.003,                0.94601,               0.047505,              0.0025053,              0.0025053
                     56,                0.61213,                 1.7036,                 1.0396,                      0,                      0,                      0,                      0,                0.40647,                  2.961,                0.95832,               0.046495,              0.0024954,              0.0024954
                     57,                0.57358,                 1.7577,                 1.1228,                      0,                      0,                      0,                      0,                0.40647,                  2.961,                0.95832,               0.045483,              0.0024835,              0.0024835
                     58,                0.53112,                 1.7993,                0.97994,                      0,                      0,                      0,                      0,                0.40647,                  2.961,                0.95832,                0.04447,              0.0024696,              0.0024696
                     59,                0.56409,                 1.6193,                 1.1377,                      0,                      0,                      0,                      0,                0.41152,                 2.8904,                0.95675,               0.043454,              0.0024538,              0.0024538
                     60,                0.48744,                 1.4732,                 1.0136,                      0,                      0,                      0,                      0,                0.41152,                 2.8904,                0.95675,               0.042436,               0.002436,               0.002436
                     61,                0.70197,                 1.6207,                 1.2225,                      0,                      0,                      0,                      0,                0.41152,                 2.8904,                0.95675,               0.041416,              0.0024162,              0.0024162
                     62,                0.55341,                 1.6915,                 1.1026,                      0,                      0,                      0,                      0,                 0.4078,                 2.7304,                0.96118,               0.040394,              0.0023944,              0.0023944
                     63,                0.42779,                 1.5431,                 1.0414,                      0,                      0,                      0,                      0,                 0.4078,                 2.7304,                0.96118,               0.039371,              0.0023707,              0.0023707
                     64,                 0.6367,                 1.6041,                 1.1981,                      0,                      0,                      0,                      0,                 0.4078,                 2.7304,                0.96118,               0.038345,               0.002345,               0.002345
                     65,                0.68466,                  1.743,                 1.1291,                      0,                      0,                      0,                      0,                0.43219,                 2.6066,                0.97034,               0.037317,              0.0023172,              0.0023172
                     66,                0.38137,                  1.632,                 0.9894,                      0,                      0,                      0,                      0,                0.43219,                 2.6066,                0.97034,               0.036288,              0.0022876,              0.0022876
                     67,                0.50488,                 1.5783,                  1.139,                      0,                      0,                      0,                      0,                0.43219,                 2.6066,                0.97034,               0.035256,              0.0022559,              0.0022559
                     68,                0.60504,                 1.7079,                 1.1353,                      0,                      0,                      0,                      0,                0.40279,                 2.5354,                0.95247,               0.034222,              0.0022222,              0.0022222
                     69,                0.47819,                 1.4973,                 0.9641,                      0,                      0,                      0,                      0,                0.40279,                 2.5354,                0.95247,               0.033187,              0.0021866,              0.0021866
                     70,                0.46941,                 1.3198,                 1.0193,                      0,                      0,                      0,                      0,                0.40279,                 2.5354,                0.95247,               0.032149,               0.002149,               0.002149
                     71,                0.64456,                 1.4949,                 1.1239,                      0,                      0,                      0,                      0,                0.35594,                 2.4118,                0.92145,               0.031109,              0.0021094,              0.0021094
                     72,                  0.536,                 1.5269,                 1.1242,                      0,                      0,                      0,                      0,                0.35594,                 2.4118,                0.92145,               0.030068,              0.0020678,              0.0020678
                     73,                 0.4253,                 1.4891,                 1.0069,                      0,                      0,                      0,                      0,                0.35594,                 2.4118,                0.92145,               0.029024,              0.0020243,              0.0020243
                     74,                0.63802,                 1.5103,                 1.1456,                      0,                      0,                      0,                      0,                0.36665,                 2.3786,                0.91799,               0.027979,              0.0019788,              0.0019788
                     75,                0.44805,                 1.3576,                0.97978,                      0,                      0,                      0,                      0,                0.36665,                 2.3786,                0.91799,               0.026931,              0.0019313,              0.0019313
                     76,                0.34544,                 1.2362,                0.93059,                      0,                      0,                      0,                      0,                0.36665,                 2.3786,                0.91799,               0.025882,              0.0018818,              0.0018818
                     77,                0.48945,                 1.4506,                 1.0199,                      0,                      0,                      0,                      0,                0.40548,                 2.3344,                0.94926,                0.02483,              0.0018303,              0.0018303
                     78,                0.42812,                  1.273,                0.97738,                      0,                      0,                      0,                      0,                0.40548,                 2.3344,                0.94926,               0.023777,              0.0017768,              0.0017768
                     79,                0.69917,                 1.5843,                 1.1645,                      0,                      0,                      0,                      0,                0.40548,                 2.3344,                0.94926,               0.022721,              0.0017214,              0.0017214
                     80,                0.53744,                 1.4862,                 1.0224,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.38069,                 2.3037,                0.94769,               0.021664,               0.001664,               0.001664
                     81,                0.45415,                 1.3467,                 1.0396,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.38069,                 2.3037,                0.94769,               0.020605,              0.0016046,              0.0016046
                     82,                0.39562,                 1.3051,                 1.0015,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.38069,                 2.3037,                0.94769,               0.019543,              0.0015432,              0.0015432
                     83,                0.43169,                 1.3368,                 1.0075,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.37682,                  2.201,                0.94039,                0.01848,              0.0014799,              0.0014799
                     84,                0.48866,                 1.3761,                 1.0253,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.37682,                  2.201,                0.94039,               0.017415,              0.0014146,              0.0014146
                     85,                0.53039,                 1.2894,                0.99939,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.37682,                  2.201,                0.94039,               0.016347,              0.0013473,              0.0013473
                     86,                  0.511,                 1.4268,                  1.069,                0.66667,                0.30556,                 0.4861,                 0.4861,                0.37682,                  2.201,                0.94039,               0.015278,               0.001278,               0.001278
                     87,                0.54189,                  1.483,                 1.0596,                0.66667,                0.38889,                0.52777,                0.52777,                0.36691,                 2.0964,                0.92614,               0.014207,              0.0012067,              0.0012067
                     88,                0.40025,                 1.1575,                0.96775,                0.66667,                0.38889,                0.52777,                0.52777,                0.36691,                 2.0964,                0.92614,               0.013133,              0.0011334,              0.0011334
                     89,                0.36481,                 1.2427,                0.95241,                0.66667,                0.38889,                0.52777,                0.52777,                0.36691,                 2.0964,                0.92614,               0.012058,              0.0010582,              0.0010582
                     90,                 0.4352,                 1.9645,                 1.0369,                0.66667,                0.38889,                0.52777,                0.52777,                0.36691,                 2.0964,                0.92614,               0.010981,               0.000981,               0.000981
                     91,                0.35816,                 1.7874,                0.96221,                0.66667,                0.38889,                0.52777,                0.52777,                0.37398,                  2.039,                0.92543,              0.0099018,             0.00090181,             0.00090181
                     92,                0.38109,                 1.7548,                0.94037,                0.66667,                0.38889,                0.52777,                0.52777,                0.37398,                  2.039,                0.92543,              0.0088206,             0.00082064,             0.00082064
                     93,                0.37776,                 1.8143,                 1.0206,                0.66667,                0.38889,                0.52777,                0.52777,                0.37398,                  2.039,                0.92543,              0.0077375,             0.00073749,             0.00073749
                     94,                0.37244,                 1.7645,                0.95765,                0.66667,                0.38889,                0.52777,                0.52777,                0.37398,                  2.039,                0.92543,              0.0066524,             0.00065236,             0.00065236
                     95,                0.27494,                 1.5828,                0.79786,                0.66667,                    0.5,                0.58167,                0.56391,                0.36597,                 1.9742,                0.91585,              0.0055653,             0.00056525,             0.00056525
                     96,                0.38254,                 1.9265,                 1.0513,                0.66667,                    0.5,                0.58167,                0.56391,                0.36597,                 1.9742,                0.91585,              0.0044762,             0.00047616,             0.00047616
                     97,                0.32382,                 1.7076,                0.90091,                0.66667,                    0.5,                0.58167,                0.56391,                0.36597,                 1.9742,                0.91585,              0.0033851,             0.00038509,             0.00038509
                     98,                0.32591,                 1.6401,                0.87987,                0.66667,                    0.5,                0.58167,                0.56391,                0.36597,                 1.9742,                0.91585,               0.002292,             0.00029204,             0.00029204
                     99,                0.43261,                 2.0051,                 1.0892,                      1,                0.58333,                   0.79,                0.73057,                0.36345,                 1.9032,                 0.9128,               0.001197,             0.00019701,             0.00019701
